ID,Type,Attributes,Attribute Count,Recent Sale Price,Recent Offer,Recent Bid
CryptoPunk 300,Male,"['Goat', 'Headband']",2,"69.69Ξ ($262,390)","74.77Ξ ($280,855)","69.69Ξ ($262,390)"
CryptoPunk 962,Male,"['Eye Mask', 'Frown', 'Police Cap']",3,"77.77Ξ ($292,124)","77.77Ξ ($292,124)","70Ξ ($262,492)"
CryptoPunk 9345,Male,"['Front Beard', 'Mohawk']",2,"69.45Ξ ($258,932)","79.45Ξ ($296,215)","4Ξ ($14,536)"
CryptoPunk 8599,Male,"['Normal Beard Black', 'Crazy Hair', 'Pipe']",3,"85Ξ ($316,907)","109.95Ξ ($409,929)","85Ξ ($316,907)"
CryptoPunk 1454,Female,"['Red Mohawk', 'Earring']",2,"69Ξ ($255,320)","72.95Ξ ($269,936)","52Ξ ($144,357)"
CryptoPunk 8285,Male,"['Cigarette', 'Normal Beard', 'Mohawk Dark']",3,"68.89Ξ ($254,913)","68.89Ξ ($254,816)","64Ξ ($260,312)"
CryptoPunk 7564,Male,"['Rosy Cheeks', 'Shaved Head']",2,"68.75Ξ ($254,395)","68.75Ξ ($256,662)","51Ξ ($191,227)"
CryptoPunk 7672,Male,"['Stringy Hair', 'Goat', 'Regular Shades']",3,"68Ξ ($251,620)","68Ξ ($252,441)",
CryptoPunk 8922,Female,"['Hot Lipstick', 'Classic Shades']",2,"67.94Ξ ($251,398)","67.94Ξ ($253,689)","58.50Ξ ($218,440)"
CryptoPunk 4930,Female,"['Black Lipstick', 'Spots', 'Mohawk Thin']",3,"65.50Ξ ($242,369)","65.50Ξ ($242,369)","4.80Ξ ($2,904)"
CryptoPunk 1927,Male,"['Mohawk Thin', 'Muttonchops']",2,"64.64Ξ ($239,187)","64.64Ξ ($239,046)","61Ξ ($225,585)"
CryptoPunk 2907,Male,"['Messy Hair', 'Goat', 'Eye Patch']",3,"66.88Ξ ($247,475)","66.88Ξ ($250,131)","65Ξ ($246,299)"
CryptoPunk 8240,Female,"['Mohawk', 'Earring', 'Nerd Glasses']",3,"68.74Ξ ($255,003)","68.74Ξ ($249,800)",
CryptoPunk 6967,Male,"['Normal Beard Black', 'Mohawk Thin']",2,"65.94Ξ ($244,616)","65.94Ξ ($246,616)","63Ξ ($247,611)"
CryptoPunk 3616,Female,"['Black Lipstick', 'Purple Eye Shadow', 'Blonde Short']",3,"69.80Ξ ($258,014)","69.80Ξ ($261,052)","130Ξ ($517,852)"
CryptoPunk 4953,Male,"['Luxurious Beard', 'Gold Chain', 'Fedora', 'Earring']",4,"130Ξ ($482,608)","147Ξ ($552,201)","130Ξ ($482,274)"
CryptoPunk 9351,Male,"['Earring', 'Mohawk', 'Small Shades']",3,"67.99Ξ ($252,757)","67.99Ξ ($252,920)","55Ξ ($204,895)"
CryptoPunk 8922,Female,"['Hot Lipstick', 'Classic Shades']",2,"67.94Ξ ($251,398)","67.94Ξ ($253,689)","58.50Ξ ($218,440)"
CryptoPunk 9197,Male,"['Front Beard Dark', 'Shaved Head']",2,"72Ξ ($268,227)","72Ξ ($268,227)",
CryptoPunk 9335,Male,"['Classic Shades', 'Earring', 'Shaved Head']",3,"0.70Ξ ($2,596)","68.90Ξ ($281,521)","2.92Ξ ($10,821)"
CryptoPunk 8922,Female,"['Hot Lipstick', 'Classic Shades']",2,"67.94Ξ ($251,398)","67.94Ξ ($253,689)","58.50Ξ ($218,440)"
CryptoPunk 7540,Male,"['Messy Hair', 'Front Beard Dark', 'Classic Shades']",3,0.20Ξ ($745),,"40Ξ ($150,410)"
CryptoPunk 2524,Male,"['Stringy Hair', 'Eye Mask', 'Earring']",3,"64Ξ ($238,321)","69.95Ξ ($259,501)","60.50Ξ ($224,443)"
CryptoPunk 636,Male,"['Chinstrap', 'Classic Shades', 'Mohawk']",3,"55Ξ ($202,451)","80Ξ ($291,650)","55Ξ ($202,451)"
CryptoPunk 387,Male,"['Cap Forward', 'Gold Chain', 'Pipe']",3,"140Ξ ($516,505)","140Ξ ($515,091)","130Ξ ($483,825)"
CryptoPunk 4085,Female,"['Knitted Cap', 'Earring']",2,"63.88Ξ ($235,674)",0.00Ξ ($0.00),"87Ξ ($285,155)"
CryptoPunk 9054,Male,"['Purple Hair', 'Horned Rim Glasses', 'Big Beard', 'Mole']",4,"88.80Ξ ($327,612)","88.80Ξ ($332,388)","86Ξ ($316,413)"
